header,title,published,summary,link,id,com_or_sub
4:0-Heimsieg gegen Servette,Luzern mindestens in der Barrage und nur noch 3 Punkte hinter GC,2022-05-08 18:35:00+00:00,"Luzern gewinnt in der 33. SL-Runde gegen Servette zu Hause verdient, aber zu … Zehn Minuten vor dem Ende, als Luzern mit einem 2:0 im Rücken und einem …",https://www.srf.ch/sport/fussball/super-league/4-0-heimsieg-gegen-servette-luzern-mindestens-in-der-barrage-und-nur-noch-3-punkte-hinter-gc,https://www.srf.ch/sport/fussball/super-league/4-0-heimsieg-gegen-servette-luzern-mindestens-in-der-barrage-und-nur-noch-3-punkte-hinter-gc,sub
3:0-Heimsieg gegen Lausanne,Luzern feiert wichtigen Erfolg im Abstiegskampf,2022-05-01 18:40:00+00:00,"Der FC Luzern feiert im Kellerduell der 32. Runde der Super League gegen Laus … Der FC Luzern wahrt die Chancen, den Barrage-Platz in den letzten vier Runden …",https://www.srf.ch/sport/fussball/super-league/3-0-heimsieg-gegen-lausanne-luzern-feiert-wichtigen-erfolg-im-abstiegskampf,https://www.srf.ch/sport/fussball/super-league/3-0-heimsieg-gegen-lausanne-luzern-feiert-wichtigen-erfolg-im-abstiegskampf,sub
Abstimmung Stadt Luzern,Braucht Luzern mehr zusammenhängende Velorouten?,2022-04-26 16:39:00+00:00,"… unsichere Stellen für Velofahrende in der Stadt Luzern. «Wenn Schülerinnen und Schüler vom Maihof … Eine richtige Velostadt sei Luzern nicht. Noch nicht, wenn es nach der Interessenorganisation geht …",https://www.srf.ch/news/abstimmungen-15-mai-2022/abstimmung-stadt-luzern-braucht-luzern-mehr-zusammenhaengende-velorouten,https://www.srf.ch/news/abstimmungen-15-mai-2022/abstimmung-stadt-luzern-braucht-luzern-mehr-zusammenhaengende-velorouten,sub
Mitten in den Playoffs,Perkovac bei Kriens-Luzern per sofort freigestellt,2022-04-26 14:45:00+00:00,"Kriens-Luzern trennt sich per sofort und nicht wie im März angekündigt zum Saison … Schmid, seine Rückkehr zum HC Kriens-Luzern auf die Saison 2022/23 bekanntgegeben …",https://www.srf.ch/sport/mehr-sport/handball/mitten-in-den-playoffs-perkovac-bei-kriens-luzern-per-sofort-freigestellt,https://www.srf.ch/sport/mehr-sport/handball/mitten-in-den-playoffs-perkovac-bei-kriens-luzern-per-sofort-freigestellt,sub
Basel schlägt Luzern mit 3:0,Spielverderber Stocker: FCZ-Meisterparty muss noch warten,2022-04-24 18:37:00+00:00,Basel schlägt Luzern in der 31. Runde der Super League zuhause mit 3:0. Damit … Die Zürcher Meisterparty muss noch mindestens eine Woche warten. Weil Basel zuhause gegen Luzern …,https://www.srf.ch/sport/fussball/super-league/basel-schlaegt-luzern-mit-3-0-spielverderber-stocker-fcz-meisterparty-muss-noch-warten,https://www.srf.ch/sport/fussball/super-league/basel-schlaegt-luzern-mit-3-0-spielverderber-stocker-fcz-meisterparty-muss-noch-warten,sub
Basel empfängt Luzern,Remis-Könige wollen nicht wieder ihrem Lieblingsresultat frönen,2022-04-24 09:48:00+00:00,"… zwar die Meisterfeier des FCZ vertagen. Doch Basel will mehr und Luzern braucht mehr. Am anderen Tabellenende muss auch bei Luzern ein Vollerfolg her, um vom Barrageplatz …",https://www.srf.ch/sport/fussball/super-league/basel-empfaengt-luzern-remis-koenige-wollen-nicht-wieder-ihrem-lieblingsresultat-froenen,https://www.srf.ch/sport/fussball/super-league/basel-empfaengt-luzern-remis-koenige-wollen-nicht-wieder-ihrem-lieblingsresultat-froenen,sub
4:3 i.E. gegen Luzern,Celar pflückt Lugano den Cup-Final vom Tessiner Himmel,2022-04-21 23:01:00+00:00,Der FC Lugano bodigt den FC Luzern im Cup-Halbfinal zuhause im Elf … Denn Celar war gegen Luzern einmal mehr in Torlaune. Bereits in den 4 Duellen …,https://www.srf.ch/sport/fussball/schweizer-cup/4-3-i-e-gegen-luzern-celar-pflueckt-lugano-den-cup-final-vom-tessiner-himmel,https://www.srf.ch/sport/fussball/schweizer-cup/4-3-i-e-gegen-luzern-celar-pflueckt-lugano-den-cup-final-vom-tessiner-himmel,sub
Der Titelverteidiger in Lugano,Luzern will mit Schub und Jokern in den Cupfinal einziehen,2022-04-21 12:11:00+00:00,Beim FC Luzern ist einen Monat vor Saisonende noch alles möglich – vom Cupsieg … Das Cup-Halbfinalspiel zwischen Lugano und Luzern sehen Sie am Donnerstag …,https://www.srf.ch/sport/fussball/schweizer-cup/der-titelverteidiger-in-lugano-luzern-will-mit-schub-und-jokern-in-den-cupfinal-einziehen,https://www.srf.ch/sport/fussball/schweizer-cup/der-titelverteidiger-in-lugano-luzern-will-mit-schub-und-jokern-in-den-cupfinal-einziehen,sub
Später 3:2-Heimsieg,Weil Fricks Joker stechen: Luzern beendet St. Gallens Höhenflug,2022-04-18 16:35:00+00:00,"Luzern fügt St. Gallen in der 30. Runde der Super League die erste Niederlage in … Es wäre ein schmeichelhafter Sieg für die Gäste gewesen, war doch Luzern ebenbürtig gewesen und …",https://www.srf.ch/sport/fussball/super-league/spaeter-3-2-heimsieg-weil-fricks-joker-stechen-luzern-beendet-st-gallens-hoehenflug,https://www.srf.ch/sport/fussball/super-league/spaeter-3-2-heimsieg-weil-fricks-joker-stechen-luzern-beendet-st-gallens-hoehenflug,sub
FCSG zu Gast beim Angstgegner,Stoppt der FC Luzern die St. Galler Ungeschlagenheit?,2022-04-18 09:19:00+00:00,"… Bein stellen kann, dann wohl der FC Luzern. Vor heimischem Publikum feierten die Innerschweizer … sich für viele Fans erst drei Tage nach dem Duell mit Luzern am Ostermontag.",https://www.srf.ch/sport/fussball/super-league/fcsg-zu-gast-beim-angstgegner-stoppt-der-fc-luzern-die-st-galler-ungeschlagenheit,https://www.srf.ch/sport/fussball/super-league/fcsg-zu-gast-beim-angstgegner-stoppt-der-fc-luzern-die-st-galler-ungeschlagenheit,sub
